Timestamp,Username,Your Name (first and last),What grade are you currently in?,"U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Advanced Chess]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [** Basketball **]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Being Lost and Found]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Biological Illustration]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Ceramics]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Drop Everything and Read]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Fantasy Football and the Politics of the NFL]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Hip Hop Evolution, Music and Culture]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Intro to Go]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Jigsaw Puzzles]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Knitting]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Makeup Magic & Discovery]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [MD in the Making]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Model UN Team]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Modern Tarot Card Reading]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [The Neurobiology of Stress and Pleasure]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Publication and Zine]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Spoon School (Woodworking)]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Tree Frog Treks]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Urban Jazz Jam]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Urban Sessions]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [** Ultimate Frisbee **]"
,,Student 1,12th,6,,,,2,3,,,,,,,,1,,,,4,5,,,
,,Student 2,10th,3,,,,4,,,,,5,,,,,,,,1,,2,,6
,,Student 3,12th,,,,,1,3,,,,6,4,5,,,,,,,2,,,
,,Student 4,9th,4,,,,1,4,,,,,,,6,4,,,,1,,,,2
,,Student 5,11th,,,,,,,,,,,,,,1,,,,,,,,
,,Student 6,12th,,,,,5,4,,,,,,3,,,1,,,6,2,,,
,,Student 7,12th,,,,,5,4,,,,,,3,,,1,,,6,2,,,
,,Student 8,9th,,,,,3,,,,,,,,,,,5,4,2,1,6,,
,,Student 9,12th,,5,,,4,,,,,,,,3,,,1,,2,,,,6
,,Student 10,12th,,3,,,,2,1,,,5,4,6,,,,,,,,,,
,,Student 11,11th,,,,3,,1,,,,,6,,,,,,,5,2,,,4
,,Student 12,12th,,,,,1,,,2,,,3,,,,5,6,4,,,,,
,,Student 13,9th,3,,,,1,,4,,,5,2,,6,,,3,,,,,,
,,Student 14,9th,,1,6,,,,5,4,,,,,,,,,,3,,,,2
,,Student 15,11th,,,,5,3,,,6,,,,2,,,,4,,,,1,,
,,Student 16,12th,,6,,,,4,1,,5,,,,,,,,,2,3,,,6
,,Student 17,10th,,4,,,6,,5,,,,,,,,,,,3,2,,6,1
,,Student 18,10th,,6,,,4,,5,,,,,,,,,,,,3,1,,2
,,Student 19,12th,4,,3,,1,,5,,,,6,,,,,,4,2,,,,
,,Student 20,10th,,,6,,4,6,,5,5,,,,,,,,,1,2,,,3
,,Student 21,10th,,,,,,3,,,1,,,,,6,5,2,,,4,,,
,,Student 22,10th,,,,5,2,,,,,,6,,,,3,,,4,1,,,
,,Student 23,12th,2,,,,,3,1,,,6,,,,,5,,,4,,,,
,,Student 24,12th,,,,,,1,,,6,,,,,4,5,,,3,,,,2
,,Student 25,11th,,,6,,,2,,,,,5,,3,,4,,,,1,,,
,,Student 26,12th,,2,,,,,,,,,,,1,,,6,,5,4,,,3
,,Student 27,12th,,,,,,4,,,,,3,5,,1,2,,6,,,,,
,,Student 28,10th,,,,,4,,,3,,,,,,,,,,1,2,,,5
,,Student 29,9th,,1,,,,,,2,,,,,,,,,,,,,,
,,Student 30,11th,,,,,3,4,,,,,2,,,,6,,5,1,,,,
,,Student 31,12th,,,,,1,,,,,,3,,,,2,4,,5,6,,,
,,Student 32,10th,,,6,3,1,,,,6,,4,,,,,,,2,,,,5
,,Student 33,11th,,,5,,4,1,,,6,,3,,,,2,,,,,,,
,,Student 34,12th,,,,6,1,,,,,,,,,,,4,,2,5,3,,
,,Student 35,11th,,,,,,,,,5,4,1,,,,6,3,,,,,,2
,,Student 36,9th,,,,,2,1,,,4,,3,,,,,6,,5,,,,
,,Student 37,10th,,,,3,,,,2,6,,,,,,4,,,5,,1,,
,,Student 38,11th,,,,1,2,3,,,,,6,,,,5,4,,,,,,
,,Student 39,10th,,,4,2,,3,,,,,,,5,,,6,1,,,,,
,,Student 40,9th,5,,,,,4,,,,,,,,,,,,,1,6,3,2
,,Student 41,12th,,,,,3,,,4,,5,4,,,,1,6,,,2,,,
,,Student 42,9th,6,,,,3,,,,,2,4,,,,,,,1,,,,5
,,Student 43,12th,,,,,2,,,,,,,,,,,,,3,,1,,
,,Student 44,12th,,,,,3,,,,,,,,,,,,,,4,1,2,
,,Student 45,12th,6,,,,3,5,,,,,,,,6,,,,4,,1,2,
,,Student 46,12th,,,,,3,5,,,,6,,,,,,,,4,,1,2,
,,Student 47,12th,,,6,,5,4,,,,,2,,,,1,,,3,,,,
,,Student 48,12th,,2,,6,,1,5,,,,,,,,,4,,,,,,3
,,Student 49,12th,,,,,6,,,,,4,,,5,1,3,,,2,,,,
,,Student 50,10th,,,,4,3,,,,,,2,,1,,5,6,,,,,,
,,Student 51,9th,,,,,1,6,,,2,,,,,,,3,,4,5,,,
,,Student 52,10th,,,,,1,2,,6,,,3,,,,5,,,4,,,,
,,Student 53,11th,,,,6,6,3,,,2,,,,4,,,4,,,,,,1
,,Student 54,10th,,,1,,,,,,6,,3,5,2,,,4,,,,,,
,,Student 55,10th,,,,,4,,,2,,,,3,1,5,,,,,,,,
,,Student 56,9th,4,2,,,5,6,,3,,,,,,,,,,,,,,1
,,Student 57,9th,4,2,6,,5,,,3,,,,,,,,,,,,,,1
,,Student 58,10th,,,,,,6,,,,2,1,3,,,3,,,5,,,,
,,Student 59,10th,,,,,5,1,,,,,,,4,,,,3,2,,,,6
