Your name,1st,2nd,3rd,4th,5th
0,9,1,10,8,7
1,6,4,8,15,11
2,7,1,11,4,3
3,7,9,8,1,11
4,11,10,14,15,4
5,3,13,9,7,4
6,9,3,14,7,2
7,4,6,10,8,9
8,14,8,12,10,3
9,2,1,8,4,7
10,11,3,4,7,10
11,9,13,8,14,10
12,12,1,8,7,4
13,2,7,14,8,9
14,10,9,15,1,7
15,6,7,13,15,4
16,1,8,2,10,14
17,13,8,2,7,10
18,9,4,15,7,12
19,9,12,14,13,10
20,14,12,10,9,2
21,8,3,10,12,1
22,10,3,8,9,14
23,11,14,13,10,12
24,13,14,11,9,8
25,1,8,9,15,4
26,6,7,10,2,4
27,3,9,11,1,8
28,7,1,4,10,14
29,7,11,1,9,6
30,15,6,8,9,4
31,7,10,14,9,1
32,12,3,14,4,10
33,12,1,4,3,9
34,1,10,7,12,8
35,14,7,9,8,10
36,1,7,3,8,6
37,1,14,7,8,9
38,10,8,1,15,7
39,3,1,7,11,2
40,1,10,7,15,4
41,7,12,10,9,8
42,1,3,11,10,4
43,10,14,7,11,9
44,3,4,7,12,8
45,10,4,7,8,9
46,8,1,7,10,14
47,11,10,3,6,7
48,14,1,10,7,9
49,1,10,9,8,14
50,6,1,8,4,14
51,7,3,1,14,10
52,10,7,9,8,11
53,7,9,6,1,8
54,15,1,8,9,13
55,14,8,1,10,7
56,4,9,8,14,7
57,7,4,2,8,11
58,8,10,11,7,3
59,3,8,11,4,9
60,3,10,7,9,1
61,9,8,10,3,12
62,12,8,7,10,1
63,14,7,8,10,9
64,12,2,10,9,1
65,1,9,13,2,8
66,7,2,3,4,10
67,1,10,7,9,8
68,8,4,12,7,10
69,8,9,7,10,11
70,3,2,15,7,8
71,1,9,8,14,3
72,15,10,11,9,7
73,9,1,3,14,4
74,8,7,14,10,9
75,9,11,10,2,7
76,13,6,4,8,10
77,4,13,9,11,10
78,4,1,14,9,8
79,2,9,7,11,10
80,4,8,10,6,7
81,6,9,1,10,7
82,9,7,8,14,12
83,1,10,9,8,7
84,13,1,14,12,4
85,1,12,10,8,4
86,12,9,8,4,10
87,12,11,10,1,9
88,7,4,9,1,10
89,11,13,10,14,1
90,9,1,10,6,8
91,9,10,1,8,4
92,8,3,10,1,7
93,3,2,1,10,14
94,13,8,10,9,3
95,4,3,12,14,13
96,9,4,7,2,10
97,10,1,7,8,3
98,10,7,8,9,3
99,4,1,10,13,12
